date,sales,temp
2014-04-17,45,281
2014-04-18,45,282
2014-04-19,25,292
2014-04-20,24,288
2014-04-21,64,292
2014-04-22,63,295
2014-04-23,75,290
2014-04-24,51,289
2014-04-25,74,289
2014-04-26,13,291
2014-04-27,29,287
2014-04-28,81,291
2014-04-29,49,288
2014-04-30,4,284
2014-05-01,79,291
2014-05-02,89,290
2014-05-03,63,291
2014-05-04,47,290
2014-05-05,85,293
2014-05-06,67,293
2014-05-07,73,293
2014-05-08,48,288
2014-05-09,56,289
2014-05-10,22,300
2014-05-11,39,300
2014-05-12,73,303
2014-05-13,75,298
2014-05-14,81,293
2014-05-15,54,294
2014-05-16,38,293
2014-05-17,47,293
2014-05-18,44,291
2014-05-19,85,295
2014-05-20,83,299
2014-05-21,75,296
2014-05-22,38,295
2014-05-23,62,293
2014-05-24,15,293
2014-05-25,34,300
2014-05-26,34,303
2014-05-27,94,303
2014-05-28,84,299
2014-05-29,77,291
2014-05-30,80,297
2014-05-31,39,295
2014-06-01,57,298
2014-06-02,85,300
2014-06-03,75,303
2014-06-04,90,300
2014-06-05,34,297
2014-06-06,94,297
2014-06-07,31,301
2014-06-08,58,302
2014-06-09,26,298
2014-06-10,66,298
2014-06-11,60,297
2014-06-12,52,294
2014-06-13,46,299
2014-06-14,37,296
2014-06-15,35,300
2014-06-16,94,300
2014-06-17,80,305
2014-06-18,90,305
2014-06-19,78,303
2014-06-20,57,300
2014-06-21,56,298
2014-06-22,61,299
2014-06-23,85,301
2014-06-24,73,301
2014-06-25,84,302
2014-06-26,67,302
2014-06-27,65,301
2014-06-28,26,304
2014-06-29,46,301
2014-06-30,85,302
2014-07-01,84,305
2014-07-02,76,306
2014-07-03,65,305
2014-07-04,34,300
2014-07-05,44,301
2014-07-06,38,303
2014-07-07,82,306
2014-07-08,94,307
2014-07-09,91,304
2014-07-10,71,301
2014-07-11,59,302
2014-07-12,60,303
2014-07-13,47,302
2014-07-14,89,302
2014-07-15,53,302
2014-07-16,68,301
2014-07-17,113,300
2014-07-18,89,300
2014-07-19,33,298
2014-07-20,48,298
2014-07-21,88,302
2014-07-22,89,303
2014-07-23,101,305
2014-07-24,94,302
2014-07-25,87,301
2014-07-26,53,300
2014-07-27,55,303
2014-07-28,91,301
2014-07-29,77,297
2014-07-30,83,299
2014-07-31,87,301
2014-08-01,88,301
2014-08-02,34,297
2014-08-03,53,297
2014-08-04,91,302
2014-08-05,83,304
2014-08-06,83,301
2014-08-07,81,301
2014-08-08,85,300
2014-08-09,32,302
2014-08-10,29,303
2014-08-11,67,302
2014-08-12,71,299
2014-08-13,56,300
2014-08-14,78,298
2014-08-15,75,297
2014-08-16,40,298
2014-08-17,32,301
2014-08-18,86,300
2014-08-19,82,300
2014-08-20,85,301
2014-08-21,64,300
2014-08-22,60,296
2014-08-23,36,295
2014-08-24,55,299
2014-08-25,83,302
2014-08-26,70,303
2014-08-27,71,304
2014-08-28,88,299
2014-08-29,63,298
2014-08-30,33,298
2014-08-31,24,304
2014-09-01,36,303
2014-09-02,80,305
2014-09-03,87,302
2014-09-04,70,302
2014-09-05,81,302
2014-09-06,34,304
2014-09-07,43,299
2014-09-08,81,297
2014-09-09,81,295
2014-09-10,82,297
2014-09-11,84,300
2014-09-12,83,297
2014-09-13,15,292
2014-09-14,57,293
2014-09-15,86,294
2014-09-16,44,293
2014-09-17,90,295
2014-09-18,71,296
2014-09-19,72,292
2014-09-20,33,296
2014-09-21,32,297
2014-09-22,81,295
2014-09-23,68,295
2014-09-24,75,295
2014-09-25,23,292
2014-09-26,90,298
2014-09-27,51,301
2014-09-28,44,302
2014-09-29,79,298
2014-09-30,84,295
2014-10-01,59,291
2014-10-02,76,293
2014-10-03,64,294
2014-10-04,14,293
2014-10-05,25,289
2014-10-06,82,294
2014-10-07,71,295
2014-10-08,72,295
2014-10-09,65,292
2014-10-10,76,291
2014-10-11,10,287
2014-10-12,14,290
2014-10-13,56,291
2014-10-14,94,298
2014-10-15,61,297
2014-10-16,62,295
2014-10-17,56,295
2014-10-18,31,293
2014-10-19,20,289
2014-10-20,76,288
2014-10-21,57,291
2014-10-22,19,287
2014-10-23,17,285
2014-10-24,77,292
2014-10-25,23,293
2014-10-26,32,290
2014-10-27,62,291
2014-10-28,75,295
2014-10-29,83,294
2014-10-30,81,287
2014-10-31,63,285
2014-11-01,8,284
2014-11-02,15,282
2014-11-03,68,289
2014-11-04,75,294
2014-11-05,74,291
2014-11-06,26,286
2014-11-07,42,284
2014-11-08,28,280
2014-11-09,30,287
2014-11-10,74,289
2014-11-11,71,291
2014-11-12,59,291
2014-11-13,36,285
2014-11-14,43,278
2014-11-15,10,278
2014-11-16,19,279
2014-11-17,16,284
2014-11-18,39,282
2014-11-19,36,273
2014-11-20,43,280
2014-11-21,37,277
2014-11-22,20,279
2014-11-23,23,287
2014-11-24,51,294
2014-11-25,65,291
2014-11-26,12,281
2014-11-27,5,276
2014-11-28,21,275
2014-11-29,22,274
2014-11-30,18,282
2014-12-01,44,290
2014-12-02,32,279
2014-12-03,37,281
2014-12-04,46,280
2014-12-05,42,280
2014-12-06,7,280
2014-12-07,16,280
2014-12-08,47,274
2014-12-09,15,279
2014-12-10,19,279
2014-12-11,46,275
2014-12-12,45,276
2014-12-13,17,279
2014-12-14,17,280
2014-12-15,49,282
2014-12-16,43,281
2014-12-17,61,284
2014-12-18,45,281
2014-12-19,34,276
2014-12-20,9,273
2014-12-21,9,275
2014-12-22,35,279
2014-12-23,24,281
2014-12-24,12,284
2014-12-25,6,289
2014-12-26,21,281
2014-12-27,19,282
2014-12-28,10,283
2014-12-29,40,281
2014-12-30,34,274
2014-12-31,25,271
2015-01-01,6,273
2015-01-02,19,277
2015-01-03,6,276
2015-01-04,7,284
2015-01-05,42,283
2015-01-06,16,270
2015-01-07,24,268
2015-01-08,19,267
2015-01-09,19,272
2015-01-10,5,268
2015-01-11,7,272
2015-01-12,22,276
2015-01-13,27,274
2015-01-14,29,269
2015-01-15,45,272
2015-01-16,38,274
2015-01-17,6,269
2015-01-18,1,276
2015-01-19,13,276
2015-01-20,49,275
2015-01-21,44,271
2015-01-22,35,275
2015-01-23,27,274
2015-01-24,7,275
2015-01-25,16,276
2015-01-26,10,270
2015-01-27,8,271
2015-01-28,13,270
2015-01-29,18,270
2015-01-30,14,273
2015-01-31,1,269
2015-02-01,12,272
2015-02-02,7,278
2015-02-03,18,271
2015-02-04,14,275
2015-02-05,28,272
2015-02-06,11,268
2015-02-07,5,272
2015-02-08,10,277
2015-02-09,13,275
2015-02-10,13,274
2015-02-11,20,272
2015-02-12,11,275
2015-02-13,10,270
2015-02-14,7,270
2015-02-15,4,266
2015-02-16,8,266
2015-02-17,16,267
2015-02-18,21,270
2015-02-19,15,265
2015-02-20,19,264
2015-02-21,6,270
2015-02-22,6,279
2015-02-23,24,275
2015-02-24,6,265
2015-02-25,12,272
2015-02-26,23,268
2015-02-27,20,269
2015-02-28,11,268
2015-03-01,2,269
2015-03-02,19,274
2015-03-03,11,271
2015-03-04,14,280
2015-03-05,3,278
2015-03-06,12,270
2015-03-07,5,276
2015-03-08,7,281
2015-03-09,37,284
2015-03-10,27,280
2015-03-11,53,283
2015-03-12,31,280
2015-03-13,39,276
2015-03-14,7,280
2015-03-15,18,280
2015-03-16,44,281
2015-03-17,31,283
2015-03-18,24,278
2015-03-19,30,277
2015-03-20,15,275
2015-03-21,12,276
2015-03-22,15,276
2015-03-23,30,275
2015-03-24,45,276
2015-03-25,39,278
2015-03-26,53,286
2015-03-27,43,285
2015-03-28,4,278
2015-03-29,20,280
2015-03-30,42,283
2015-03-31,39,282
2015-04-01,54,281
2015-04-02,52,286
2015-04-03,24,291
2015-04-04,14,286
2015-04-05,18,285
2015-04-06,54,288
2015-04-07,43,288
2015-04-08,46,284
2015-04-09,41,281
2015-04-10,33,288
2015-04-11,18,287
2015-04-12,29,286
2015-04-13,64,289
2015-04-14,44,289
2015-04-15,64,289
2015-04-16,67,287
2015-04-17,42,292
2015-04-18,39,295
2015-04-19,28,293
2015-04-20,29,287
2015-04-21,39,288
2015-04-22,47,291
2015-04-23,59,282
2015-04-24,52,282
2015-04-25,24,287
2015-04-26,31,288
2015-04-27,56,288
2015-04-28,62,292
2015-04-29,63,296
2015-04-30,71,293
2015-05-01,65,291
2015-05-02,15,294
2015-05-03,31,298
2015-05-04,62,301
2015-05-05,79,301
2015-05-06,65,298
2015-05-07,84,300
2015-05-08,77,302
2015-05-09,25,298
2015-05-10,35,301
2015-05-11,70,301
2015-05-12,75,301
2015-05-13,75,297
2015-05-14,83,294
2015-05-15,77,295
2015-05-16,47,302
2015-05-17,49,300
2015-05-18,86,298
2015-05-19,55,297
2015-05-20,69,293
2015-05-21,65,289
2015-05-22,63,294
2015-05-23,30,292
2015-05-24,52,298
2015-05-25,40,299
2015-05-26,78,300
2015-05-27,62,301
2015-05-28,63,301
2015-05-29,89,298
2015-05-30,32,300
2015-05-31,38,300
2015-06-01,21,292
2015-06-02,16,286
2015-06-03,70,292
2015-06-04,68,291
2015-06-05,59,294
2015-06-06,29,296
2015-06-07,46,295
2015-06-08,72,299
2015-06-09,85,300
2015-06-10,74,300
2015-06-11,69,303
2015-06-12,71,303
2015-06-13,35,301
2015-06-14,30,301
2015-06-15,63,299
2015-06-16,66,298
2015-06-17,82,299
2015-06-18,73,295
2015-06-19,72,299
2015-06-20,34,296
2015-06-21,38,299
2015-06-22,84,301
2015-06-23,78,307
2015-06-24,88,300
2015-06-25,80,300
2015-06-26,70,299
2015-06-27,23,297
2015-06-28,32,295
2015-06-29,97,298
2015-06-30,75,300
2015-07-01,85,301
2015-07-02,77,299
2015-07-03,39,300
2015-07-04,33,297
2015-07-05,39,301
2015-07-06,89,301
2015-07-07,61,303
2015-07-08,65,302
2015-07-09,53,299
2015-07-10,96,301
2015-07-11,58,302
2015-07-12,51,303
2015-07-13,80,302
2015-07-14,80,299
2015-07-15,81,299
2015-07-16,90,299
2015-07-17,81,300
2015-07-18,34,302
2015-07-19,40,306
2015-07-20,72,306
2015-07-21,74,304
2015-07-22,88,301
2015-07-23,83,301
2015-07-24,84,302
2015-07-25,39,302
2015-07-26,33,304
2015-07-27,87,302
2015-07-28,75,306
2015-07-29,85,307
2015-07-30,56,303
2015-07-31,73,304
2015-08-01,54,304
2015-08-02,37,303
2015-08-03,80,305
2015-08-04,70,305
2015-08-05,80,303
2015-08-06,87,300
2015-08-07,70,301
2015-08-08,48,300
2015-08-09,60,301
2015-08-10,95,300
2015-08-11,34,299
2015-08-12,73,302
2015-08-13,97,301
2015-08-14,81,303
2015-08-15,45,306
2015-08-16,44,305
2015-08-17,79,306
2015-08-18,106,305
2015-08-19,90,303
2015-08-20,86,302
2015-08-21,74,302
2015-08-22,39,301
2015-08-23,50,300
2015-08-24,109,302
2015-08-25,88,303
2015-08-26,88,300
2015-08-27,92,299
2015-08-28,78,299
2015-08-29,47,301
2015-08-30,51,303
2015-08-31,81,305
2015-09-01,78,303
2015-09-02,73,305
